n_seqs = 1869
n_types = 16

          n_events    time_span   time_elapsed
count  1869.000000  1869.000000  964469.000000
mean    517.034778   149.303161       0.289328
std     340.227515    66.102945       1.752863
min       1.000000     0.000000       0.000000
25%     211.000000    96.965093       0.000926
50%     447.000000   182.397338       0.010995
75%     900.000000   203.820567       0.031343
95%    1000.000000   209.005676       1.006898
99%    1000.000000   209.420985       5.809615
max    1000.000000   209.956204     156.904850
