alarm_id,device_id,start_timestamp,end_timestamp
145,22,65,65
108,32,69,69
123,39,71,71
108,39,79,79
29,32,93,93
110,39,99,99
62,38,100,100
41,11,102,102
56,25,105,105
60,4,106,106
14,9,106,106
24,32,113,113
42,25,129,129
60,39,129,129
90,12,134,134
15,9,165,165
73,9,171,171
77,37,172,172
90,19,172,172
4,5,179,179
90,37,181,181
39,37,183,183
137,38,183,183
14,19,184,184
149,38,184,184
75,38,185,185
139,28,189,189
148,28,194,194
9,18,195,195
84,39,196,196
90,19,199,199
24,29,199,199
137,28,200,200
99,15,204,204
22,29,207,207
25,26,224,224
66,18,302,302
67,29,452,452
144,9,667,667
101,4,667,667
90,24,672,672
97,33,720,720
73,29,732,732
141,25,735,735
97,32,876,876
52,32,882,882
12,19,1124,1124
39,39,1124,1124
138,6,1126,1126
37,7,1127,1127
83,23,1128,1128
41,8,1129,1129
13,38,1130,1130
13,5,1134,1134
103,19,1135,1135
131,6,1135,1135
89,7,1136,1136
98,5,1137,1137
107,6,1137,1137
56,38,1138,1138
92,12,1138,1138
101,39,1139,1139
46,32,1139,1139
139,19,1141,1141
48,39,1141,1141
125,19,1142,1142
33,2,1145,1145
84,15,1146,1146
5,33,1146,1146
14,19,1149,1149
85,29,1151,1151
29,38,1152,1152
84,15,1152,1152
137,22,1153,1153
137,14,1154,1154
23,34,1155,1155
5,3,1155,1155
9,29,1156,1156
47,17,1156,1156
68,18,1157,1157
73,6,1157,1157
24,5,1158,1158
24,18,1159,1159
84,32,1159,1159
77,12,1159,1159
5,0,1161,1161
9,19,1161,1161
137,6,1162,1162
84,3,1162,1162
42,5,1166,1166
47,36,1167,1167
14,26,1167,1167
84,19,1168,1168
47,19,1169,1169
89,16,1169,1169
84,19,1169,1169
90,5,1171,1171
84,20,1171,1171
75,19,1172,1172
24,19,1172,1172
90,18,1173,1173
84,6,1176,1176
84,6,1177,1177
17,17,1178,1178
22,25,1179,1179
46,21,1179,1179
137,16,1180,1180
148,19,1180,1180
5,39,1181,1181
75,6,1182,1182
22,19,1182,1182
40,33,1184,1184
4,16,1184,1184
9,7,1188,1188
9,12,1190,1190
77,23,1201,1201
148,19,1204,1204
4,23,1211,1211
